ObjectId;Department;Title;Artist;ArtistNationality;ObjectDate;ObjectDateBegin;ObjectDateEnd;Medium;Classification;Tags;ImageUrl;Height;Width
435570;European Paintings;A Ship in a Stormy Sea;Ivan Konstantinovich Aivazovsky;Russian;1892;1837;1900;Card;Miniatures;Seas|Storms|Ships;https://images.metmuseum.org/CRDImages/ep/web-large/17537.jpg;2.5;5.1
435572;European Paintings;Saint Giles with Christ Triumphant over Satan and the Mission of the Apostles;Miguel Alcañiz (or Miquel Alcanyís);Spanish;ca. 1408;1403;1413;Tempera on wood, gold ground;Paintings;Apostles|Saints|Christ;https://images.metmuseum.org/CRDImages/ep/web-large/DP102155.jpg;151.4;100.3
435573;European Paintings;Flora and Zephyr;Jacopo Amigoni;Italian;1730s;1730;1739;Oil on canvas;Paintings;Goddess|Putti|Flowers|Landscapes;https://images.metmuseum.org/CRDImages/ep/web-large/DT8028.jpg;213.4;147.3
435574;European Paintings;The Crucifixion;Andrea di Bartolo;Italian;;1389;1428;Tempera on wood, gold ground;Paintings;Soldiers|Men|Crucifixion|Horses|Mountains|Angels|Christ|Virgin Mary;https://images.metmuseum.org/CRDImages/ep/web-large/DP318238.jpg;52.7;97.8
435575;European Paintings;Jérôme Bonaparte (1784–1860), King of Westphalia;Giacomo Andreoli;Italian;;1803;1813;Ivory;Miniatures;Kings|Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/127596.jpg;6.0;4.8
435576;European Paintings;Saint Alexander;Fra Angelico (Guido di Pietro);Italian;ca. 1425;1420;1430;Tempera on wood, gold ground;Paintings;Bishops|Croziers|Miter;https://images.metmuseum.org/CRDImages/ep/web-large/DP-19582-001.jpg;15.9;15.6
435577;European Paintings;The Crucifixion;Fra Angelico (Guido di Pietro);Italian;possibly ca. 1440;1435;1445;Tempera transferred to canvas, laid down on wood, gold ground;Paintings;Crucifixion|Saints|Mary Magdalene|Saint Francis|Christ;https://images.metmuseum.org/CRDImages/ep/web-large/DP-20398-001.jpg;40.0;54.0
435578;European Paintings;The Nativity;Zanobi Strozzi;Italian;ca. 1433–34;1433;1434;Tempera and gold on wood;Paintings;Nativity|Cows|Donkeys|Joseph|Angels|Christ|Virgin Mary;https://images.metmuseum.org/CRDImages/ep/web-large/DT5285.jpg;18.7;43.5
435579;European Paintings;The Nativity;Zanobi Strozzi;Italian;;1417;1455;Tempera and gold on wood;Paintings;Jesus|Nativity|Cows|Donkeys|Angels|Joseph|Virgin Mary;https://images.metmuseum.org/CRDImages/ep/web-large/DP369867.jpg;38.7;29.2
435580;European Paintings;Christ Crowned with Thorns;Antonello da Messina (Antonello di Giovanni d'Antonio);Italian;;1450;1479;Oil, possibly over tempera, on wood;Paintings;Christ;https://images.metmuseum.org/CRDImages/ep/web-large/DT285189.jpg;42.5;30.5
435581;European Paintings;Portrait of a Young Man;Antonello da Messina (Antonello di Giovanni d'Antonio);Italian;ca. 1470;1465;1475;Oil on wood;Paintings;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/DP120669.jpg;27.0;20.6
435583;European Paintings;Madonna and Child;Antoniazzo Romano (Antonio di Benedetto Aquilio);Italian;;1452;1512;Tempera on wood, gold ground;Paintings;Madonna and Child|Nursing;https://images.metmuseum.org/CRDImages/ep/web-large/ep41.190.9.bw.R.jpg;37.8;27.3
435584;European Paintings;The Nativity;Antoniazzo Romano (Antonio di Benedetto Aquilio);Italian;1480s;1480;1489;Tempera on wood;Paintings;Animals|Jesus|Nativity|Donkeys|Sheep|Landscapes|Angels|Virgin Mary;https://images.metmuseum.org/CRDImages/ep/web-large/DP207823.jpg;29.2;67.3
435585;European Paintings;Portrait of a Married Couple (Lorenz Kraffter and Honesta Merz?);Ulrich Apt the Elder;German;1512;1512;1512;Oil on linden;Paintings;Couples|Men|Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/DP296529.jpg;33.0;63.2
435587;European Paintings;Caroline of Ansbach (1683–1737), Consort of George II of Great Britain and Ireland;Benjamin Arlaud;Swiss;;1701;1717;Ivory;Miniatures;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/159389.jpg;6.7;5.7
